Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,UpDown
2002-01-30,0.5590000152587891,0.5389999747276306,0.5519999861717224,2,100,30,2002,0
2002-01-31,0.5659999847412109,0.550000011920929,0.5659999847412109,3,100,31,2002,1
2002-02-01,0.6069999933242798,0.5640000104904175,0.6029999852180481,4,200,1,2002,1
2002-02-04,0.6019999980926514,0.5860000252723694,0.5929999947547913,0,200,4,2002,0
2002-02-05,0.593500018119812,0.5774999856948853,0.5845000147819519,1,200,5,2002,0
2002-02-06,0.597000002861023,0.5680000185966492,0.5709999799728394,2,200,6,2002,0
2002-02-07,0.5724999904632568,0.5569999814033508,0.5709999799728394,3,200,7,2002,0
2002-02-08,0.5899999737739563,0.5709999799728394,0.5870000123977661,4,200,8,2002,1
2002-02-11,0.6240000128746033,0.5799999833106995,0.6190000176429749,0,200,11,2002,1
2002-02-12,0.6209999918937683,0.5979999899864197,0.6014999747276306,1,200,12,2002,0
2002-02-13,0.6225000023841858,0.5899999737739563,0.609000027179718,2,200,13,2002,1
2002-02-14,0.6169999837875366,0.5979999899864197,0.6035000085830688,3,200,14,2002,0
2002-02-15,0.625,0.5954999923706055,0.6108999848365784,4,200,15,2002,1
2002-02-19,0.6104999780654907,0.5910000205039978,0.5914999842643738,1,200,19,2002,0
2002-02-20,0.5924999713897705,0.5680000185966492,0.5759999752044678,2,200,20,2002,0
2002-02-21,0.5910000205039978,0.5740000009536743,0.5860000252723694,3,200,21,2002,1
2002-02-22,0.5920000076293945,0.5789999961853027,0.5860000252723694,4,200,22,2002,1
2002-02-25,0.5849999785423279,0.5609999895095825,0.5609999895095825,0,200,25,2002,0
2002-02-26,0.5759999752044678,0.5565000176429749,0.5715000033378601,1,200,26,2002,1
2002-02-27,0.5989999771118164,0.5697000026702881,0.5839999914169312,2,200,27,2002,1
2002-02-28,0.5945000052452087,0.5759999752044678,0.5879999995231628,3,200,28,2002,1
2002-03-01,0.7099999785423279,0.6769999861717224,0.7059999704360962,4,300,1,2002,1
2002-03-04,0.7095000147819519,0.6940000057220459,0.7080000042915344,0,300,4,2002,1
2002-03-05,0.7369999885559082,0.7085000276565552,0.7300000190734863,1,300,5,2002,1
2002-03-06,0.7419999837875366,0.7214999794960022,0.7394999861717224,2,300,6,2002,1
2002-03-07,0.7940000295639038,0.7404999732971191,0.765999972820282,3,300,7,2002,1
2002-03-08,0.7749999761581421,0.75,0.7680000066757202,4,300,8,2002,1
2002-03-11,0.7969999909400941,0.7724999785423279,0.7910000085830688,0,300,11,2002,1
